timestamps,property_id,latitude,longitude,bedroom_number,bathroom_number,price_per_unit,living_space,land_space,pred_price,price
2025-05-31 20:29:28.294909322,2067242787,,,,,,,1.0,110707.5,155000.0
2025-05-31 22:27:23.818112233,2542308,38.75929,-90.544785,4.0,2.0,131.0,2663.0,1.25,338730.9,350000.0
2025-06-01 00:25:19.341315145,78845740,33.656654,-95.550026,5.0,3.0,99.0,4300.0,0.68,398379.0,429000.0
2025-06-01 02:23:14.864518057,51404413,41.413338,-87.745476,3.0,2.0,114.0,2105.0,9583.2,226866.5,239999.0
2025-06-01 04:21:10.387720969,2121346544,38.051365,-91.256775,0.0,0.0,,,10.0,193954.76,60000.0
2025-06-01 06:19:05.910923880,2064165893,26.063627,-97.208244,1.0,2.0,556.0,835.0,2800.0,548349.0,465000.0
2025-06-01 08:17:01.434126792,18974125,35.59394,-118.49619,3.0,2.0,157.0,1899.0,0.28,396647.95,298900.0
2025-06-01 10:14:56.957329704,87570218,29.366295,-100.90953,2.0,1.0,89.0,740.0,0.33,96000.0,66000.0
2025-06-01 12:12:52.480532616,13237673,39.965515,-105.15569,2.0,2.0,448.0,970.0,,432225.0,435000.0
2025-06-01 14:10:48.003735527,2594369,38.82464,-90.32705,3.0,2.0,147.0,1014.0,4791.6,156897.99,150000.0
2025-06-01 16:08:43.526938439,87791205,34.681828,-118.231514,5.0,3.0,188.0,3026.0,6970.0,570902.85,570000.0
2025-06-01 18:06:39.050141351,28959480,32.691696,-97.43552,2.0,2.0,129.0,1392.0,2570.04,184907.94,180000.0
2025-06-01 20:04:34.573344263,135884383,33.97486,-118.30281,12.0,,380.0,2888.0,0.2581,1157043.85,1099995.0
2025-06-01 22:02:30.096547174,2073671147,41.25286,-87.86403,,,,,0.33,57267.49,75000.0
2025-06-02 00:00:25.619750086,299731679,31.96871,-102.143166,3.0,2.0,181.0,1605.0,3789.72,292288.79,290800.0
2025-06-02 01:58:21.142952998,2068984000,39.450787,-104.77976,4.0,3.0,230.0,3857.0,,1193685.47,888995.0
2025-06-02 03:56:16.666155909,109808276,32.650448,-93.72092,3.0,2.0,147.0,1778.0,7927.92,261065.97,263000.0
2025-06-02 05:54:12.189358821,83752569,33.043232,-96.64621,4.0,5.0,188.0,3708.0,7579.44,721377.88,700000.0
2025-06-02 07:52:07.712561733,61359779,34.40046,-118.58671,5.0,6.0,565.0,5218.0,0.2823,3023454.9,2950000.0
2025-06-02 09:50:03.235764645,6896321,36.262924,-115.22822,5.0,5.0,201.0,3352.0,0.28,705956.23,674900.0
2025-06-02 11:47:58.758967556,2065650547,30.363825,-95.39148,,0.0,,,,77347.98,52900.0
2025-06-02 13:45:54.282170468,77776505,31.141832,-93.28678,3.0,2.0,72.0,1319.0,8712.0,96062.99,95000.0
2025-06-02 15:43:49.805373380,2067838705,32.265057,-95.29605,,,,,4.086,155120.79,149000.0
2025-06-02 17:41:45.328576292,333553448,40.075237,-104.78264,3.0,3.0,241.0,1895.0,5500.0,456559.91,456865.0
2025-06-02 19:39:40.851779203,169471521,29.50384,-98.280464,3.0,3.0,163.0,2015.0,6316.2,330205.3,330000.0
2025-06-02 21:37:36.374982115,2066770497,,,5.0,4.0,140.0,4769.0,0.364,641204.0,671990.0
2025-06-02 23:35:31.898185027,309733337,45.457027,-122.50889,4.0,3.0,349.0,2461.0,6969.6,859961.6,859900.0
2025-06-03 01:33:27.421387939,2065768059,34.607365,-106.82965,,,,,5.0,55983.03,10000.0
2025-06-03 03:31:22.944590850,28674871,32.58166,-96.31538,4.0,4.0,164.0,4226.0,0.418,672893.96,695000.0
2025-06-03 05:29:18.467793762,68052668,40.066402,-105.28577,1.0,1.0,639.0,843.0,,609470.82,539000.0
2025-06-03 07:27:13.990996674,220824904,36.18568,-115.96222,,,,0.0,0.43,39225.0,13700.0
2025-06-03 09:25:09.514199586,7063661,36.104828,-115.069046,3.0,2.0,246.0,1482.0,6970.0,359656.4,365000.0
2025-06-03 11:23:05.037402497,2065670550,29.7342,-95.86555,4.0,3.0,212.0,2068.0,6250.0,434872.65,439790.0
2025-06-03 13:21:00.560605409,20510387,34.054935,-118.40998,2.0,4.0,612.0,2524.0,18.0755,1519314.3,1545000.0
2025-06-03 15:18:56.083808321,2067005643,47.564396,-122.675964,3.0,2.0,373.0,1273.0,4303.728,468042.88,474900.0
2025-06-03 17:16:51.607011233,2066657395,,,3.0,2.0,321.0,1351.0,6534.0,426688.11,435000.0
2025-06-03 19:14:47.130214144,133780708,34.10364,-109.908005,,,,,21.9,759084.18,995000.0
2025-06-03 21:12:42.653417056,73753193,29.984673,-90.231415,2.0,1.0,212.0,1200.0,0.25,253141.55,255000.0
2025-06-03 23:10:38.176619968,86018219,34.849712,-97.60443,3.0,2.0,80.0,1202.0,7802.0,98130.0,97000.0
2025-06-04 01:08:33.699822879,27332190,33.112408,-97.051285,1.0,1.0,272.0,1062.0,0.738,293147.43,289900.0
2025-06-04 03:06:29.223025791,13201156,40.186638,-105.08477,3.0,3.0,285.0,1837.0,7531.0,539619.87,524000.0
2025-06-04 05:04:24.746228703,119834277,30.649025,-97.83805,3.0,2.0,273.0,1812.0,6229.08,495598.57,495000.0
2025-06-04 07:02:20.269431615,2067014695,33.511253,-116.56292,,,,,40.0,283525.28,140000.0
2025-06-04 09:00:15.792634526,2067644151,31.199375,-92.32966,,0.0,,,1.15,72393.0,38000.0
2025-06-04 10:58:11.315837438,2076890450,30.452873,-97.96542,4.0,5.0,297.0,3499.0,,1021711.52,1039900.0
2025-06-04 12:56:06.839040350,66847830,36.117886,-115.03558,4.0,3.0,187.0,2315.0,4792.0,426391.52,435000.0
2025-06-04 14:54:02.362243262,228477995,36.453014,-93.72163,,,,,0.2506,24770.98,19000.0
2025-06-04 16:51:57.885446173,21240025,33.77133,-118.19544,1.0,1.0,484.0,617.0,0.3438,324589.95,299000.0
2025-06-04 18:49:53.408649085,113707128,44.41949,-118.9564,2.0,2.0,185.0,888.0,4792.0,202956.96,165000.0
2025-06-04 20:47:48.931851997,2067972709,,,,,,,10018.8,65222.0,75000.0
2025-06-04 22:45:44.455054909,69030619,37.811558,-121.30868,6.0,4.0,223.0,3743.0,6098.4,831011.07,835000.0
2025-06-05 00:43:39.978257820,216929140,34.744354,-112.04687,3.0,2.0,335.0,1603.0,9583.2,537589.12,538500.0
2025-06-05 02:41:35.501460732,12902194,40.5257,-111.9275,6.0,5.0,211.0,4612.0,10454.4,1015610.85,975000.0
2025-06-05 04:39:31.024663644,2067346013,26.095552,-97.680725,,,,,93.0,963742.86,930000.0
2025-06-05 06:37:26.547866556,145379376,46.61096,-120.564415,2.0,2.0,37.0,1329.0,,255426.86,49500.0
2025-06-05 08:35:22.071069467,13847405,40.35576,-105.205864,3.0,2.0,444.0,1080.0,0.84,472854.49,480000.0
2025-06-05 10:33:17.594272379,2064330766,37.064514,-105.75261,,,,,5.0,69386.82,6500.0
2025-06-05 12:31:13.117475291,2069314056,,,,,,,5.0,161257.0,149500.0
2025-06-05 14:29:08.640678203,87333469,32.014034,-97.36611,,,,,9016.92,55888.9,40000.0
